State,Museum or Federal Agency,MNI,AFO,Geo Origin,County
California,"Univ. of California, Davis, Dept. of Anthropology Museum",3,0,California,Alameda
California,"Univ. of California, Los Angeles, Fowler Museum of Cultural History",1,0,California,Alameda
California,"San Francisco State Univ., NAGPRA Program, Anthropology Dept.",1,0,California,Alameda
California,"San Francisco State Univ., NAGPRA Program, Anthropology Dept.",2,61,California,Alameda
California,"San Francisco State Univ., NAGPRA Program, Anthropology Dept.",35,48,California,Alameda
California,"San Francisco State Univ., NAGPRA Program, Anthropology Dept.",5,54,California,Alameda
California,"San Francisco State Univ., NAGPRA Program, Anthropology Dept.",10,563,California,Alameda
California,"San Francisco State Univ., NAGPRA Program, Anthropology Dept.",1,0,California,Alameda
California,"San Francisco State Univ., NAGPRA Program, Anthropology Dept.",4,28,California,Alameda
California,"San Francisco State Univ., NAGPRA Program, Anthropology Dept.",1,0,California,Alameda
California,"San Francisco State Univ., NAGPRA Program, Anthropology Dept.",1,0,California,Alameda
California,"San Francisco State Univ., NAGPRA Program, Anthropology Dept.",99,552,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",2,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",790,178,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",61,2892,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",9,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",8,30,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",2,380,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",5,86,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",27,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",544,5218,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",150,6,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",2,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",23,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",2,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",3,19,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",12,4,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",2,2,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",4,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",37,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",2,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,1,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",4,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",5,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",3,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,California,Alameda
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",321,85,California,Alameda
California,"Cal. State, Hayward, Dept. of Anthropology",26,0,California,Alameda
California,"Cal. State, Hayward, Dept. of Anthropology",24,0,California,Alameda
California,"Cal. State, Hayward, Dept. of Anthropology",1,7,California,Alameda
California,Santa Cruz Museum of Natural History,1,0,California,Alameda
California,Santa Barbara Museum of Natural History,1,0,California,Alameda
Connecticut,"Yale Univ., Peabody Museum of Natural History",1,0,California,Alameda
Connecticut,"Yale Univ., Peabody Museum of Natural History",1,6,California,Alameda
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,California,Alameda
Nevada,"Univ. of Nevada, Las Vegas, Dept. of Anthropology",1,0,California,Alameda
Colorado,"U.S. Dept. of Agriculture, FS, Rio Grande NF",2,0,Colorado,Alamosa
Texas,"West Texas A and M Univ., Panhandle-Plains Historical Museum",1,1,Colorado,Alamosa
New York,New York State Museum,3,0,New York,Albany
New York,New York State Museum,1,0,New York,Albany
New York,New York State Museum,3,0,New York,Albany
New York,New York State Museum,6,0,New York,Albany
New York,New York State Museum,4,0,New York,Albany
Wyoming,"Univ. of Wyoming, Dept. of Anthropology",1,5,Wyoming,Albany
Wyoming,"Univ. of Wyoming, Dept. of Anthropology",2,2,Wyoming,Albany
Wyoming,"Univ. of Wyoming, Dept. of Anthropology",1,0,Wyoming,Albany
Wyoming,"Univ. of Wyoming, Dept. of Anthropology",1,2,Wyoming,Albany
Wyoming,"Univ. of Wyoming, Dept. of Anthropology",1,2,Wyoming,Albany
Wyoming,"Univ. of Wyoming, Dept. of Anthropology",1,4,Wyoming,Albany
Wyoming,"Univ. of Wyoming, Dept. of Anthropology",2,0,Wyoming,Albany
Michigan,Univ. of Michigan Museum of Anthropology,2,0,Michigan,Alcona
New York,American Museum of Natural History,1,0,Alaska,Aleutians East
New York,American Museum of Natural History,1,1,Alaska,Aleutians East
New York,American Museum of Natural History,24,0,Alaska,Aleutians East
New York,American Museum of Natural History,2,0,Alaska,Aleutians East
New York,American Museum of Natural History,5,188,Alaska,Aleutians East
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Alaska,Aleutians West
Missouri,Kansas City Museum,1,0,Alaska,Aleutians West
New York,American Museum of Natural History,7,0,Alaska,Aleutians West
New York,American Museum of Natural History,9,0,Alaska,Aleutians West
New York,American Museum of Natural History,3,0,Alaska,Aleutians West
New York,American Museum of Natural History,1,0,Alaska,Aleutians West
New York,American Museum of Natural History,1,0,Alaska,Aleutians West
New York,American Museum of Natural History,2,0,Alaska,Aleutians West
New York,American Museum of Natural History,1,0,Alaska,Aleutians West
New York,American Museum of Natural History,1,0,Alaska,Aleutians West
New York,American Museum of Natural History,1,0,Alaska,Aleutians West
New York,American Museum of Natural History,1,0,Alaska,Aleutians West
New York,American Museum of Natural History,3,0,Alaska,Aleutians West
New York,American Museum of Natural History,1,0,Alaska,Aleutians West
New York,American Museum of Natural History,2,0,Alaska,Aleutians West
New York,American Museum of Natural History,6,0,Alaska,Aleutians West
New York,American Museum of Natural History,8,0,Alaska,Aleutians West
New York,American Museum of Natural History,10,0,Alaska,Aleutians West
New York,American Museum of Natural History,1,0,Alaska,Aleutians West
Utah,"Brigham Young Univ., Museum of Peoples and Cultures",1,0,Alaska,Aleutians West
Illinois,"Southern Illinois Univ., Carbondale, Center for Archaeological Investigations",1,0,Illinois,Alexander
Illinois,"Southern Illinois Univ., Carbondale, Center for Archaeological Investigations",2,0,Illinois,Alexander
Maryland,"U.S. Dept. of Defense, Defense Health Agency, National Museum of Health and Medicine",1,0,Illinois,Alexander
Maryland,"U.S. Dept. of Defense, Defense Health Agency, National Museum of Health and Medicine",1,0,Illinois,Alexander
Iowa,State Historical Society of Iowa,1,1,Iowa,Allamakee
Missouri,"Univ. of Missouri, Columbia, Museum of Anthropology",1,0,Iowa,Allamakee
Wisconsin,"Wisconsin Historical Society, Museum Division",1,0,Iowa,Allamakee
Michigan,City of Saugatuck,3,0,Michigan,Allegan
Maryland,Maryland Historical Trust,27,0,Maryland,Allegany
Maryland,"U.S. Dept. of Interior, NPS, Chesapeake and Ohio Canal NHP",1,0,Maryland,Allegany
Maryland,"U.S. Dept. of Defense, Defense Health Agency, National Museum of Health and Medicine",1,0,New York,Allegany
New York,Rochester Museum and Science Center,1,0,New York,Allegany
New York,Rochester Museum and Science Center,2,0,New York,Allegany
New York,SUNY University at Buffalo,2,6,New York,Allegany
New York,American Museum of Natural History,1,1,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,3,116,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,3,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,7,9,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,3,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,3,15,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,3,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,3,4,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,5,28,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,7,68,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,2,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,4,4,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,7,91,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,4,16,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,2,157,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,199,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,3,76,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,2,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,5,1302,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,11,711,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,3,131,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,2,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,2,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,24,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,381,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,760,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,23,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,14,18,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,8,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,2,4,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,5,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,9,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,1,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,603,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,2,102,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,302,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,5,114,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,2,0,Pennsylvania,Allegheny
Pennsylvania,Carnegie Museum of Natural History,1,0,Pennsylvania,Allegheny
Pennsylvania,State Museum of Pennsylvania,3,1,Pennsylvania,Allegheny
Pennsylvania,State Museum of Pennsylvania,2,0,Pennsylvania,Allegheny
Pennsylvania,State Museum of Pennsylvania,1,0,Pennsylvania,Allegheny
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Indiana,Allen
Kentucky,"Western Kentucky Univ., Dept. of Folk Studies and Anthropology",12,62,Kentucky,Allen
Kentucky,"Western Kentucky Univ., Dept. of Folk Studies and Anthropology",3,0,Kentucky,Allen
Kentucky,"Western Kentucky Univ., Dept. of Folk Studies and Anthropology",3,0,Kentucky,Allen
Kentucky,"Western Kentucky Univ., Dept. of Folk Studies and Anthropology",1,0,Kentucky,Allen
Kentucky,"Western Kentucky Univ., Dept. of Folk Studies and Anthropology",1,0,Kentucky,Allen
Kentucky,"Western Kentucky Univ., Dept. of Folk Studies and Anthropology",4,0,Kentucky,Allen
Kentucky,"Western Kentucky Univ., Dept. of Folk Studies and Anthropology",2,0,Kentucky,Allen
Kentucky,"Western Kentucky Univ., Dept. of Folk Studies and Anthropology",1,0,Kentucky,Allen
Kentucky,"Western Kentucky Univ., Dept. of Folk Studies and Anthropology",32,200,Kentucky,Allen
Kentucky,"Western Kentucky Univ., Dept. of Folk Studies and Anthropology",4,0,Kentucky,Allen
Louisiana,"Louisiana State Univ., Museum of Natural Science",1,0,Louisiana,Allen
Ohio,Allen County Historical Society,31,10,Ohio,Allen
Ohio,Allen County Historical Society,7,1,Ohio,Allen
Ohio,Allen County Historical Society,27,16,Ohio,Allen
Ohio,Ohio History Connection (formerly the Ohio Historical Society),1,0,Ohio,Allen
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,South Carolina,Allendale
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,South Carolina,Allendale
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,South Carolina,Allendale
South Carolina,"Univ. of South Carolina, South Carolina Institute of Archaeology and Anthropology",4,0,South Carolina,Allendale
South Carolina,"Univ. of South Carolina, South Carolina Institute of Archaeology and Anthropology",1,1,South Carolina,Allendale
California,California Dept. of Parks and Recreation,2,21,California,Amador
California,"Univ. of California, Davis, Dept. of Anthropology Museum",1,0,California,Amador
California,"Univ. of California, Davis, Dept. of Anthropology Museum",19,17,California,Amador
California,"Univ. of California, Davis, Dept. of Anthropology Museum",10,184,California,Amador
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,California,Amador
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",15,0,California,Amador
Virginia,"Virginia Department of Conservation and Recreation, Division of State Parks",1,0,Virginia,Amherst
Tennessee,Tennessee Valley Authority,8,65,Tennessee,Anderson
Tennessee,Tennessee Valley Authority,270,650,Tennessee,Anderson
Tennessee,Tennessee Valley Authority,32,116,Tennessee,Anderson
Tennessee,Tennessee Valley Authority,21,7,Tennessee,Anderson
Tennessee,Tennessee Valley Authority,24,4,Tennessee,Anderson
Tennessee,"Univ. of Tennessee, Knoxville, Frank H. McClung Museum",1,8,Tennessee,Anderson
Tennessee,"Univ. of Tennessee, Knoxville, Frank H. McClung Museum",19,9,Tennessee,Anderson
Tennessee,"Univ. of Tennessee, Knoxville, Frank H. McClung Museum",7,0,Tennessee,Anderson
Tennessee,"Univ. of Tennessee, Knoxville, Frank H. McClung Museum",1,0,Tennessee,Anderson
Tennessee,"Univ. of Tennessee, Knoxville, Frank H. McClung Museum",1,0,Tennessee,Anderson
Texas,"Texas Tech Univ., Museum",2,0,Texas,Andrews
Texas,"Univ. of Texas at Austin, Texas Archeological Research Laboratory",3,221,Texas,Andrews
Texas,"Univ. of Texas at Austin, Texas Archeological Research Laboratory",1,0,Texas,Andrews
Texas,"Univ. of Texas at Austin, Texas Archeological Research Laboratory",1,0,Texas,Andrews
Pennsylvania,Univ. of Pennsylvania Museum of Archaeology and Anthropology,1,0,Maine,Androscoggin
North Carolina,"Univ. of North Carolina at Chapel Hill, Research Laboratories of Archaeology",4,3,North Carolina,Anson
Michigan,Michigan State University,1,2,Michigan,Antrim
Michigan,Michigan State University,2,0,Michigan,Antrim
Michigan,Univ. of Michigan Museum of Anthropology,2,0,Michigan,Antrim
Arizona,"Univ. of Arizona, Arizona State Museum",1,0,Arizona,Apache
Arizona,"Univ. of Arizona, Arizona State Museum",5,0,Arizona,Apache
Arizona,"Univ. of Arizona, Arizona State Museum",1,0,Arizona,Apache
Arizona,"Univ. of Arizona, Arizona State Museum",1,0,Arizona,Apache
Arizona,"Univ. of Arizona, Arizona State Museum",1,0,Arizona,Apache
Arizona,"Univ. of Arizona, Arizona State Museum",1,0,Arizona,Apache
Arizona,"Univ. of Arizona, Arizona State Museum",2,0,Arizona,Apache
Arizona,"Univ. of Arizona, Arizona State Museum",8,1,Arizona,Apache
Arizona,"Univ. of Arizona, Arizona State Museum",11,302,Arizona,Apache
Arizona,"Univ. of Arizona, Arizona State Museum",2,22,Arizona,Apache
Arizona,"Univ. of Arizona, Arizona State Museum",4,0,Arizona,Apache
Arizona,"Univ. of Arizona, Arizona State Museum",5,11,Arizona,Apache
Arizona,"Univ. of Arizona, Arizona State Museum",2,0,Arizona,Apache
Arizona,"Univ. of Arizona, Arizona State Museum",1,0,Arizona,Apache
Arizona,"Univ. of Arizona, Arizona State Museum",3,0,Arizona,Apache
Arizona,"Univ. of Arizona, Arizona State Museum",2,0,Arizona,Apache
Arizona,"Univ. of Arizona, Arizona State Museum",1,0,Arizona,Apache
Arizona,"Univ. of Arizona, Arizona State Museum",2,0,Arizona,Apache
Arizona,"U.S. Dept. of Agriculture, FS, Apache-Sitgreaves NF",1,0,Arizona,Apache
Arizona,"U.S. Dept. of Agriculture, FS, Apache-Sitgreaves NF",1,3,Arizona,Apache
Arizona,"U.S. Dept. of Agriculture, FS, Apache-Sitgreaves NF",1,2,Arizona,Apache
Arizona,"U.S. Dept. of Agriculture, FS, Apache-Sitgreaves NF",1,2,Arizona,Apache
Arizona,Arizona State Parks,2,0,Arizona,Apache
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",4,117,Arizona,Apache
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",2,2,Arizona,Apache
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",2,0,Arizona,Apache
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,Arizona,Apache
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,90,Arizona,Apache
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",2,401,Arizona,Apache
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,100,Arizona,Apache
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,154,Arizona,Apache
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,43,Arizona,Apache
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,Arizona,Apache
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",2,295,Arizona,Apache
