dbscan,month,geography,group,subgroup
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,red,USA
4,Nov,Alaska,green,USA
4,Sep,Alaska,green,USA
4,Sep,Alaska,green,USA
4,Sep,Alaska,green,USA
4,Sep,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,white,USA
4,Mar,Alaska,purple,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,purple,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Feb,Alaska,green,USA
4,Jan,Alaska,purple,USA
4,Jan,Alaska,green,USA
4,Jun,Alaska,white,USA
4,May,Alaska,green,USA
4,Apr,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,purple,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,white,USA
4,Mar,Alaska,white,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,white,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,white,USA
4,Mar,Alaska,white,USA
4,Mar,Alaska,white,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,white,USA
4,Mar,Alaska,white,USA
4,Mar,Alaska,white,USA
4,Mar,Alaska,white,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,white,USA
4,Mar,Alaska,white,USA
4,Mar,Alaska,white,USA
4,Mar,Alaska,white,USA
4,Mar,Alaska,white,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,white,USA
4,Mar,Alaska,white,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,purple,USA
4,Mar,Alaska,purple,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,purple,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,purple,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,purple,USA
4,Mar,Alaska,red,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,purple,USA
4,Feb,Alaska,green,USA
4,Feb,Alaska,green,USA
4,Feb,Alaska,green,USA
4,Feb,Alaska,green,USA
4,Feb,Alaska,green,USA
4,Feb,Alaska,green,USA
4,Feb,Alaska,green,USA
4,Feb,Alaska,green,USA
4,Feb,Alaska,green,USA
4,Feb,Alaska,green,USA
4,Feb,Alaska,green,USA
4,Feb,Alaska,green,USA
4,Feb,Alaska,white,USA
4,Feb,Alaska,white,USA
4,Feb,Alaska,white,USA
4,Feb,Alaska,white,USA
4,Feb,Alaska,white,USA
4,Feb,Alaska,white,USA
4,Feb,Alaska,green,USA
4,Feb,Alaska,white,USA
4,Feb,Alaska,green,USA
4,Feb,Alaska,green,USA
4,Feb,Alaska,white,USA
4,Feb,Alaska,green,USA
4,Feb,Alaska,white,USA
4,Dec,Alaska,blue,USA
4,Dec,Alaska,blue,USA
4,Dec,Alaska,green,USA
4,Dec,Alaska,green,USA
4,Dec,Alaska,green,USA
4,Dec,Alaska,green,USA
4,Dec,Alaska,green,USA
4,Dec,Alaska,green,USA
4,Dec,Alaska,green,USA
4,Dec,Alaska,green,USA
4,Oct,Alaska,white,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,purple,USA
4,Feb,Alaska,red,USA
4,Feb,Alaska,green,USA
4,Dec,Alaska,green,USA
4,Nov,Alaska,green,USA
4,Sep,Alaska,green,USA
4,Sep,Alaska,purple,USA
4,Sep,Alaska,green,USA
4,Aug,Alaska,purple,USA
4,Aug,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,green,USA
4,Feb,Alaska,green,USA
4,Dec,Alaska,green,USA
4,Apr,Alaska,red,USA
4,Apr,Alaska,green,USA
4,Apr,Alaska,green,USA
4,Apr,Alaska,green,USA
4,Apr,Alaska,white,USA
4,Apr,Alaska,green,USA
4,Apr,Alaska,blue,USA
4,Apr,Alaska,green,USA
4,Apr,Alaska,blue,USA
4,Feb,Alaska,green,USA
4,Jan,Alaska,green,USA
4,Jan,Alaska,green,USA
4,Jan,Alaska,green,USA
4,Jan,Alaska,green,USA
4,Jan,Alaska,green,USA
5,Jan,Alaska,green,USA
5,Oct,Alaska,green,USA
5,Oct,Alaska,purple,USA
5,Oct,Alaska,green,USA
5,Oct,Alaska,green,USA
5,Oct,Alaska,green,USA
5,Oct,Alaska,red,USA
6,Jan,Alaska,green,USA
6,Jan,Alaska,green,USA
6,Jan,Alaska,green,USA
6,Jan,Alaska,green,USA
6,Jan,Alaska,purple,USA
6,Jan,Alaska,purple,USA
6,Jan,Alaska,purple,USA
6,Jan,Alaska,green,USA
6,Jan,Alaska,green,USA
6,Jan,Alaska,green,USA
7,Sep,Michigan,yellow,USA
7,Sep,Michigan,yellow,USA
7,May,Michigan,yellow,USA
7,May,Michigan,yellow,USA
7,May,Michigan,yellow,USA
7,May,Michigan,green,USA
7,May,Michigan,purple,USA
7,May,Michigan,purple,USA
7,May,Michigan,green,USA
7,May,Michigan,green,USA
7,May,Michigan,yellow,USA
7,May,Michigan,yellow,USA
7,May,Michigan,green,USA
7,May,Michigan,green,USA
7,Mar,Michigan,yellow,USA
7,Mar,Michigan,blue,USA
7,Mar,Michigan,yellow,USA
7,Mar,Michigan,yellow,USA
7,Mar,Michigan,purple,USA
7,Mar,Michigan,purple,USA
7,Mar,Michigan,purple,USA
7,Mar,Michigan,blue,USA
9,Sep,Wyoming,purple,USA
9,Sep,Wyoming,purple,USA
9,Jul,Wyoming,purple,USA
9,Jul,Wyoming,purple,USA
9,Jul,Wyoming,yellow,USA
9,Jul,Wyoming,purple,USA
9,Jul,Wyoming,purple,USA
9,May,Wyoming,green,USA
9,May,Wyoming,blue,USA
9,Nov,Wyoming,green,USA
9,Nov,Wyoming,blue,USA
9,Nov,Wyoming,green,USA
9,Nov,Wyoming,green,USA
9,Aug,Montana,green,USA
9,Aug,Montana,green,USA
9,Aug,Montana,green,USA
9,Nov,Wyoming,red,USA
9,Nov,Wyoming,red,USA
9,Nov,Wyoming,red,USA
9,Nov,Wyoming,red,USA
9,Oct,Wyoming,yellow,USA
9,Oct,Wyoming,red,USA
9,Oct,Wyoming,red,USA
9,May,Wyoming,green,USA
9,May,Wyoming,purple,USA
9,May,Wyoming,purple,USA
9,May,Wyoming,green,USA
9,May,Wyoming,green,USA
9,May,Wyoming,green,USA
9,Apr,Wyoming,blue,USA
9,Mar,Montana,green,USA
9,Mar,Montana,purple,USA
9,Mar,Wyoming,blue,USA
10,Sep,Montana,purple,USA
10,Sep,Montana,purple,USA
10,Sep,Montana,yellow,USA
10,Sep,Montana,purple,USA
10,Aug,Montana,purple,USA
10,Aug,Montana,purple,USA
11,Sep,Maine,blue,USA
11,Sep,Maine,purple,USA
11,Sep,Maine,yellow,USA
11,Sep,Maine,purple,USA
11,Sep,Maine,purple,USA
11,Sep,Maine,red,USA
11,Sep,Maine,red,USA
11,Sep,Maine,red,USA
11,Sep,Maine,red,USA
11,Sep,Maine,red,USA
12,Sep,Alaska,yellow,USA
12,Mar,Alaska,green,USA
12,Mar,Alaska,blue,USA
12,Mar,Alaska,green,USA
12,Sep,Alaska,green,USA
12,Sep,Alaska,yellow,USA
13,Aug,Alaska,green,USA
13,Aug,Alaska,green,USA
13,Aug,Alaska,green,USA
14,Aug,Wisconsin,purple,USA
14,Aug,Wisconsin,yellow,USA
14,Aug,Wisconsin,purple,USA
14,Aug,Wisconsin,purple,USA
14,Aug,Wisconsin,blue,USA
14,Aug,Wisconsin,purple,USA
14,Aug,Wisconsin,yellow,USA
14,Aug,Wisconsin,purple,USA
14,Aug,Wisconsin,purple,USA
14,Aug,Wisconsin,purple,USA
14,Jul,Wisconsin,yellow,USA
16,Mar,Alaska,green,USA
16,Mar,Alaska,green,USA
16,Mar,Alaska,red,USA
16,Mar,Alaska,purple,USA
16,Mar,Alaska,green,USA
16,Mar,Alaska,purple,USA
16,Mar,Alaska,yellow,USA
16,Sep,Alaska,green,USA
16,Aug,Alaska,yellow,USA
16,Aug,Alaska,yellow,USA
16,Aug,Alaska,yellow,USA
16,Mar,Alaska,yellow,USA
16,Mar,Alaska,purple,USA
18,Feb,Montana,purple,USA
18,Feb,Montana,green,USA
18,Feb,Montana,green,USA
21,Sep,Montana,yellow,USA
21,Sep,Montana,yellow,USA
21,Sep,Montana,yellow,USA
21,Sep,Montana,yellow,USA
22,Aug,Alaska,purple,USA
22,Aug,Alaska,purple,USA
22,Sep,Alaska,green,USA
23,Aug,Minnesota,yellow,USA
23,Aug,Minnesota,purple,USA
23,Aug,Minnesota,purple,USA
23,Aug,Minnesota,purple,USA
23,Aug,Minnesota,purple,USA
23,Aug,Minnesota,purple,USA
23,Aug,Minnesota,purple,USA
23,Aug,Minnesota,yellow,USA
23,Aug,Minnesota,yellow,USA
23,Aug,Minnesota,purple,USA
24,Mar,Minnesota,purple,USA
24,Mar,Minnesota,purple,USA
24,Mar,Minnesota,purple,USA
24,Mar,Minnesota,purple,USA
24,Mar,Minnesota,red,USA
24,Jul,Minnesota,purple,USA
24,Jul,Minnesota,green,USA
24,Jul,Minnesota,green,USA
24,Jul,Minnesota,green,USA
24,Jul,Minnesota,green,USA
24,Jul,Minnesota,green,USA
24,Jul,Minnesota,green,USA
24,Jul,Minnesota,green,USA
24,Jul,Minnesota,yellow,USA
24,Jul,Minnesota,purple,USA
24,Jul,Minnesota,purple,USA
24,Jul,Minnesota,green,USA
24,Jul,Minnesota,green,USA
24,Jul,Minnesota,green,USA
24,Jul,Minnesota,green,USA
24,Jul,Minnesota,yellow,USA
24,Jul,Minnesota,green,USA
24,Jul,Minnesota,yellow,USA
24,Jul,Minnesota,yellow,USA
24,Jul,Minnesota,green,USA
27,Jan,Alaska,green,USA
27,Jan,Alaska,green,USA
27,Jan,Alaska,green,USA
27,Jan,Alaska,green,USA
27,Mar,Alaska,green,USA
27,Jan,Alaska,yellow,USA
27,Jan,Alaska,green,USA
27,Jan,Alaska,green,USA
27,Jan,Alaska,green,USA
27,Jan,Alaska,green,USA
27,Jan,Alaska,green,USA
27,Jan,Alaska,green,USA
27,Jan,Alaska,green,USA
27,Nov,Alaska,green,USA
27,Nov,Alaska,green,USA
27,Nov,Alaska,purple,USA
27,Oct,Alaska,green,USA
27,Oct,Alaska,green,USA
27,Oct,Alaska,green,USA
27,Oct,Alaska,green,USA
27,Jan,Alaska,green,USA
27,Jan,Alaska,green,USA
27,Jan,Alaska,green,USA
27,Jan,Alaska,green,USA
27,Jan,Alaska,green,USA
27,Jan,Alaska,green,USA
27,Jan,Alaska,green,USA
30,Oct,Maine,blue,USA
30,Jul,Maine,purple,USA
30,Jul,Maine,purple,USA
30,Jul,Maine,purple,USA
30,Jul,Maine,purple,USA
30,Jul,Maine,purple,USA
31,Oct,Michigan,blue,USA
31,Oct,Michigan,blue,USA
31,Oct,Michigan,yellow,USA
31,Mar,Michigan,green,USA
36,Sep,Maine,purple,USA
36,Dec,Maine,red,USA
36,Dec,Maine,red,USA
36,Dec,Maine,purple,USA
36,Oct,Maine,red,USA
37,Sep,Alaska,green,USA
37,Aug,Alaska,green,USA
37,Dec,Alaska,blue,USA
39,May,Washington,yellow,USA
39,May,Washington,yellow,USA
39,May,Washington,yellow,USA
39,May,Washington,green,USA
39,May,Washington,green,USA
40,May,New York,yellow,USA
40,Oct,New York,green,USA
40,Oct,New York,green,USA
41,May,South Dakota,yellow,USA
41,May,South Dakota,green,USA
41,May,South Dakota,purple,USA
41,May,South Dakota,red,USA
41,May,South Dakota,yellow,USA
41,May,South Dakota,green,USA
42,May,Idaho,green,USA
42,May,Idaho,green,USA
42,May,Idaho,purple,USA
42,May,Idaho,green,USA
42,May,Idaho,green,USA
42,May,Idaho,white,USA
42,May,Idaho,green,USA
42,May,Idaho,green,USA
42,May,Idaho,white,USA
42,May,Idaho,green,USA
42,May,Idaho,green,USA
42,May,Idaho,green,USA
42,May,Idaho,purple,USA
42,May,Idaho,green,USA
42,May,Idaho,green,USA
42,May,Idaho,green,USA
42,May,Idaho,green,USA
42,May,Idaho,blue,USA
42,May,Idaho,blue,USA
49,Mar,Alaska,yellow,USA
49,Mar,Alaska,yellow,USA
49,Mar,Alaska,yellow,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,blue,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,blue,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,blue,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,blue,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,blue,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,blue,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,blue,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,blue,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,green,USA
49,Mar,Alaska,yellow,USA
49,Mar,Alaska,blue,USA
49,Mar,Alaska,blue,USA
49,Nov,Alaska,green,USA
53,Jul,Wisconsin,yellow,USA
53,Jun,Wisconsin,yellow,USA
53,Jun,Wisconsin,yellow,USA
53,Jun,Wisconsin,yellow,USA
53,Jun,Wisconsin,yellow,USA
53,Jun,Wisconsin,purple,USA
53,Jun,Wisconsin,green,USA
53,Jun,Wisconsin,green,USA
53,Jun,Wisconsin,green,USA
55,Jun,Washington,blue,USA
55,Jun,Washington,blue,USA
55,Jun,Washington,purple,USA
55,Jun,Washington,green,USA
55,Jun,Washington,green,USA
55,Jun,Washington,purple,USA
55,Jun,Washington,yellow,USA
55,Jun,Washington,yellow,USA
55,Jun,Washington,purple,USA
56,Jun,Wisconsin,purple,USA
56,Jun,Wisconsin,purple,USA
56,Jun,Wisconsin,yellow,USA
56,Jun,Wisconsin,yellow,USA
56,Jun,Wisconsin,yellow,USA
56,Jun,Wisconsin,yellow,USA
56,Jun,Wisconsin,yellow,USA
57,Jun,Minnesota,blue,USA
57,Jun,Minnesota,blue,USA
57,Jun,Minnesota,purple,USA
57,Jun,Minnesota,green,USA
57,Jun,Minnesota,green,USA
58,Jun,Minnesota,yellow,USA
58,Jun,Minnesota,yellow,USA
58,Jun,Minnesota,yellow,USA
58,Jun,Minnesota,yellow,USA
58,Jun,Minnesota,yellow,USA
58,Jun,Minnesota,yellow,USA
58,Jun,Minnesota,yellow,USA
58,Jun,Minnesota,yellow,USA
58,Jun,Minnesota,yellow,USA
58,Jun,Minnesota,yellow,USA
58,Jun,Minnesota,purple,USA
58,Jun,Minnesota,green,USA
58,Jun,Minnesota,green,USA
58,Jun,Minnesota,yellow,USA
58,Jun,Minnesota,yellow,USA
58,Jun,Minnesota,yellow,USA
59,Jun,Minnesota,green,USA
59,Jun,Minnesota,green,USA
59,Jun,Minnesota,green,USA
59,Jun,Minnesota,purple,USA
59,Jun,Minnesota,green,USA
59,Jun,Minnesota,purple,USA
59,Sep,Minnesota,blue,USA
59,Sep,Minnesota,blue,USA
59,Oct,Minnesota,green,USA
59,Aug,Minnesota,green,USA
59,Aug,Minnesota,green,USA
60,May,Illinois,purple,USA
60,May,Illinois,purple,USA
60,May,Illinois,blue,USA
60,May,Illinois,purple,USA
60,May,Illinois,purple,USA
60,May,Illinois,red,USA
60,May,Illinois,purple,USA
64,Oct,Alaska,green,USA
64,Oct,Alaska,green,USA
64,Oct,Alaska,green,USA
64,Oct,Alaska,green,USA
64,Oct,Alaska,green,USA
64,Oct,Alaska,green,USA
64,Oct,Alaska,green,USA
64,Apr,Alaska,purple,USA
65,Oct,Michigan,yellow,USA
65,Oct,Michigan,yellow,USA
65,Sep,Michigan,blue,USA
65,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
66,Sep,Michigan,yellow,USA
69,Aug,Minnesota,yellow,USA
69,Aug,Minnesota,blue,USA
69,Aug,Minnesota,blue,USA
74,Feb,Illinois,red,USA
74,Feb,Illinois,green,USA
74,Feb,Illinois,purple,USA
75,Dec,Wisconsin,red,USA
75,Oct,Wisconsin,red,USA
75,Oct,Wisconsin,red,USA
75,Jul,Wisconsin,green,USA
75,Jul,Wisconsin,purple,USA
75,Jul,Wisconsin,green,USA
78,Oct,Michigan,yellow,USA
78,Oct,Michigan,green,USA
78,Oct,Michigan,purple,USA
78,Oct,Michigan,red,USA
78,Oct,Michigan,green,USA
78,Oct,Michigan,green,USA
78,Oct,Michigan,green,USA
78,Oct,Michigan,green,USA
78,Oct,Michigan,green,USA
78,Oct,Michigan,red,USA
78,Oct,Michigan,green,USA
78,Oct,Michigan,yellow,USA
78,May,Michigan,green,USA
79,Oct,Montana,purple,USA
79,Oct,Montana,green,USA
79,Oct,Montana,green,USA
80,Jun,Washington,purple,USA
80,Apr,Washington,red,USA
80,Jul,Washington,purple,USA
80,Jul,Washington,green,USA
81,Jun,Oregon,purple,USA
81,Jun,Oregon,red,USA
81,May,Oregon,purple,USA
81,May,Oregon,purple,USA
81,May,Oregon,purple,USA
82,Jun,Iowa,purple,USA
82,Jun,Iowa,purple,USA
82,Jun,Iowa,purple,USA
82,Jun,Iowa,purple,USA
82,Jun,Iowa,purple,USA
82,Jun,Iowa,purple,USA
82,Jun,Iowa,purple,USA
82,Jun,Iowa,purple,USA
82,Jun,Iowa,purple,USA
82,Jun,Iowa,purple,USA
82,Jun,Iowa,purple,USA
82,Jun,Iowa,purple,USA
82,Jun,Iowa,purple,USA
82,Jun,Iowa,purple,USA
82,Jun,Iowa,purple,USA
82,Jun,Iowa,purple,USA
82,Jun,Iowa,yellow,USA
82,Jun,Iowa,yellow,USA
82,Jun,Iowa,purple,USA
82,Jun,Iowa,yellow,USA
82,Jun,Iowa,yellow,USA
82,Jun,Iowa,red,USA
82,Jun,Iowa,yellow,USA
85,Apr,Minnesota,purple,USA
85,Apr,Minnesota,purple,USA
85,Apr,Minnesota,green,USA
85,Apr,Minnesota,red,USA
86,Apr,Alaska,green,USA
86,Apr,Alaska,red,USA
86,Apr,Alaska,purple,USA
87,Apr,Michigan,blue,USA
87,Apr,Michigan,red,USA
87,Apr,Michigan,blue,USA
88,Apr,Alaska,green,USA
88,Apr,Alaska,yellow,USA
88,Apr,Alaska,green,USA
88,Apr,Alaska,yellow,USA
88,Apr,Alaska,green,USA
88,Apr,Alaska,green,USA
88,Apr,Alaska,green,USA
88,Apr,Alaska,green,USA
88,Apr,Alaska,green,USA
90,Nov,Kansas,yellow,USA
90,Nov,Kansas,yellow,USA
90,Nov,Kansas,yellow,USA
90,Jul,Kansas,purple,USA
91,Nov,Wisconsin,green,USA
91,Nov,Wisconsin,green,USA
91,Nov,Wisconsin,green,USA
91,Apr,Wisconsin,green,USA
91,Apr,Wisconsin,green,USA
91,Oct,Illinois,red,USA
91,Oct,Illinois,red,USA
91,Oct,Illinois,green,USA
93,Oct,Alaska,green,USA
93,Mar,Alaska,green,USA
93,Mar,Alaska,green,USA
93,Mar,Alaska,green,USA
94,Oct,Alaska,green,USA
94,Oct,Alaska,green,USA
94,Oct,Alaska,green,USA
94,Oct,Alaska,green,USA
94,Oct,Alaska,green,USA
94,Mar,Alaska,green,USA
94,Mar,Alaska,green,USA
94,Mar,Alaska,green,USA
94,Mar,Alaska,green,USA
94,Mar,Alaska,green,USA
94,Mar,Alaska,green,USA
95,Oct,Washington,purple,USA
95,Jul,Washington,green,USA
95,Jul,Washington,green,USA
95,Jul,Washington,green,USA
95,Jul,Washington,green,USA
96,Sep,Michigan,green,USA
96,Sep,Michigan,purple,USA
96,Sep,Michigan,green,USA
96,Sep,Michigan,green,USA
96,Sep,Michigan,green,USA
96,Sep,Michigan,green,USA
96,Apr,Michigan,green,USA
96,Apr,Michigan,green,USA
96,Apr,Michigan,yellow,USA
96,Feb,Michigan,yellow,USA
96,Feb,Michigan,green,USA
96,Feb,Michigan,yellow,USA
96,Oct,Michigan,green,USA
97,Jul,Oregon,purple,USA
97,Jul,Oregon,purple,USA
97,Jul,Oregon,purple,USA
98,Jul,Wisconsin,purple,USA
98,Jul,Wisconsin,purple,USA
98,Jul,Wisconsin,purple,USA
98,Jul,Wisconsin,yellow,USA
98,Jul,Wisconsin,purple,USA
98,Jul,Wisconsin,green,USA
99,Jul,Iowa,green,USA
99,Jul,Iowa,green,USA
99,Jul,Iowa,green,USA
99,Jul,Iowa,green,USA
99,Jul,Iowa,green,USA
99,Jul,Iowa,green,USA
99,Jul,Iowa,green,USA
101,Apr,Alaska,green,USA
101,Apr,Alaska,green,USA
101,Apr,Alaska,green,USA
101,Apr,Alaska,green,USA
101,Apr,Alaska,green,USA
101,Apr,Alaska,green,USA
101,Apr,Alaska,green,USA
101,Apr,Alaska,green,USA
101,Apr,Alaska,green,USA
101,Apr,Alaska,green,USA
